Date,SP500,NASDAQ,VIX
2014-08-18,1971.739990234375,4508.31005859375,12.319999694824219
2014-08-19,1981.5999755859375,4527.509765625,12.210000038146973
2014-08-20,1986.510009765625,4526.47998046875,11.779999732971191
2014-08-21,1992.3699951171875,4532.10009765625,11.760000228881836
2014-08-22,1988.4000244140625,4538.5498046875,11.470000267028809
2014-08-25,1997.9200439453125,4557.35009765625,11.699999809265137
2014-08-26,2000.02001953125,4570.64013671875,11.630000114440918
2014-08-27,2000.1199951171875,4569.6201171875,11.779999732971191
2014-08-28,1996.739990234375,4557.7001953125,12.050000190734863
2014-08-29,2003.3699951171875,4580.27001953125,12.09000015258789
2014-09-02,2002.280029296875,4598.18994140625,12.25
2014-09-03,2000.719970703125,4572.56005859375,12.359999656677246
2014-09-04,1997.6500244140625,4562.2900390625,12.640000343322754
2014-09-05,2007.7099609375,4582.89990234375,12.09000015258789
2014-09-08,2001.5400390625,4592.2900390625,12.65999984741211
2014-09-09,1988.43994140625,4552.2900390625,13.5
2014-09-10,1995.68994140625,4586.52001953125,12.880000114440918
2014-09-11,1997.449951171875,4591.81005859375,12.800000190734863
2014-09-12,1985.5400390625,4567.60009765625,13.3100004196167
2014-09-15,1984.1300048828125,4518.89990234375,14.119999885559082
2014-09-16,1998.97998046875,4552.759765625,12.729999542236328
2014-09-17,2001.5699462890625,4562.18994140625,12.649999618530273
2014-09-18,2011.3599853515625,4593.43017578125,12.029999732971191
2014-09-19,2010.4000244140625,4579.7900390625,12.109999656677246
2014-09-22,1994.2900390625,4527.68994140625,13.6899995803833
2014-09-23,1982.77001953125,4508.68994140625,14.930000305175781
2014-09-24,1998.300048828125,4555.22021484375,13.270000457763672
2014-09-25,1965.989990234375,4466.75,15.640000343322754
2014-09-26,1982.8499755859375,4512.18994140625,14.850000381469727
2014-09-29,1977.800048828125,4505.85009765625,15.979999542236328
2014-09-30,1972.2900390625,4493.39013671875,16.309999465942383
2014-10-01,1946.1600341796875,4422.08984375,16.709999084472656
2014-10-02,1946.1700439453125,4430.2001953125,16.15999984741211
2014-10-03,1967.9000244140625,4475.6201171875,14.550000190734863
2014-10-06,1964.8199462890625,4454.7998046875,15.460000038146973
2014-10-07,1935.0999755859375,4385.2001953125,17.200000762939453
2014-10-08,1968.8900146484375,4468.58984375,15.109999656677246
2014-10-09,1928.2099609375,4378.33984375,18.760000228881836
